PlayerID,Season,GameDate,Week,Team,Opponent,HomeOrAway,Number,Name,Position,PositionCategory,Activated,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnYardsPerAttempt,KickReturnTouchdowns,KickReturnLong,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,SpecialTeamsSoloTackles,SpecialTeamsAssistedTackles,MiscSoloTackles,MiscAssistedTackles,Punts,PuntYards,PuntAverage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsLongestMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,ReceptionPercentage,ReceivingYardsPerTarget,Tackles,OffensiveTouchdowns,DefensiveTouchdowns,SpecialTeamsTouchdowns,Touchdowns,FantasyPosition,FieldGoalPercentage,PlayerGameID,FumblesOwnRecoveries,FumblesOutOfBounds,KickReturnFairCatches,PuntReturnFairCatches,PuntTouchbacks,PuntInside20,PuntNetAverage,ExtraPointsAttempted,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Safeties,FieldGoalsHadBlocked,PuntsHadBlocked,ExtraPointsHadBlocked,PuntLong,BlockedKickReturnYards,FieldGoalReturnYards,PuntNetYards,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,MiscFumblesForced,MiscFumblesRecovered,ShortName,PlayingSurface,IsGameOver,SafetiesAllowed,Stadium,Temperature,Humidity,WindSpeed,FanDuelSalary,FantasyDataSalary,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed,OffensiveTeamSnaps,DefensiveTeamSnaps,SpecialTeamsTeamSnaps
13914,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,2,Drew Butler,P,ST,Y,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,218,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,11048760,0,0,0,0,2,0,32.2,0,0,0,0,0,1,0,0,0,0,129,0,0,0,0,D.Butler,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,,,0,0,5,70,61,18
2428,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,3,Carson Palmer,QB,OFF,Y,Y,Y,37,24,304,64.9,8.2,12.7,2,0,108.39,63,2,10,4,29,7.2,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.06,0,0,0,0,0,0,0,QB,0,11048700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.Palmer,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,6800,6800,70,0,0,70,61,18
4737,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,5,Drew Stanton,QB,OFF,Y,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QB,0,11048770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D.Stanton,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,5000,5000,0,0,0,70,61,18
16656,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,6,Logan Thomas,QB,OFF,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QB,0,11048771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L.Thomas,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,5000,5000,0,0,0,70,61,18
16644,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,7,Chandler Catanzaro,K,ST,Y,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,44,0,0,0,0,6,0,0,0,0,0,0,0,K,100,11048734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.Catanzaro,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,4800,4800,0,0,6,70,61,18
4130,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,9,Dave Zastudil,P,ST,Y,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,11048761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D.Zastudil,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,,,2,0,0,70,61,18
5571,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,11,Larry Fitzgerald,WR,OFF,Y,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,25,5.5,0,0,0,0,0,WR,0,11048751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L.Fitzgerald,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,6800,6800,60,0,0,70,61,18
16640,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,12,John Brown,WR,OFF,Y,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,29,14.5,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,40,5.8,0,1,0,0,1,WR,0,11048731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jo.Brown,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,4500,4500,39,0,0,70,61,18
15509,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,13,Jaron Brown,WR,OFF,Y,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,100,6,0,0,0,0,0,WR,0,11048762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ja.Brown,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,4500,4500,5,0,0,70,61,18
14478,2014,9/8/2014 10:20:00 PM,1,ARI,SD,HOME,15,Michael Floyd,WR,OFF,Y,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,7,5,119,23.8,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,71.4,17,0,0,0,0,0,WR,0,11048706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M.Floyd,Dome,TRUE,0,University of Phoenix Stadium,70,50,0,6500,6500,63,0,0,70,61,18
